clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo  222 | Valor central: 87.60313571 | Tempo: 0.001261 s
[CUDA] Passo  223 | Valor central: 87.55174636 | Tempo: 0.001248 s
[CUDA] Passo  224 | Valor central: 87.50039240 | Tempo: 0.001254 s
[CUDA] Passo  225 | Valor central: 87.44907382 | Tempo: 0.001249 s
[CUDA] Passo  226 | Valor central: 87.39779058 | Tempo: 0.001256 s
[CUDA] Passo  227 | Valor central: 87.34654266 | Tempo: 0.001239 s
[CUDA] Passo  228 | Valor central: 87.29533003 | Tempo: 0.001254 s
[CUDA] Passo  229 | Valor central: 87.24415266 | Tempo: 0.001241 s
[CUDA] Passo  230 | Valor central: 87.19301053 | Tempo: 0.001261 s
[CUDA] Passo  231 | Valor central: 87.14190361 | Tempo: 0.001244 s
[CUDA] Passo  232 | Valor central: 87.09083187 | Tempo: 0.001252 s
[CUDA] Passo  233 | Valor central: 87.03979529 | Tempo: 0.001240 s
[CUDA] Passo  234 | Valor central: 86.98879384 | Tempo: 0.001257 s
[CUDA] Passo  235 | Valor central: 86.93782749 | Tempo: 0.001241 s
[CUDA] Passo  236 | Valor central: 86.88689621 | Tempo: 0.001260 s
[CUDA] Passo  237 | Valor central: 86.83599999 | Tempo: 0.001240 s
[CUDA] Passo  238 | Valor central: 86.78513879 | Tempo: 0.001258 s
[CUDA] Passo  239 | Valor central: 86.73431258 | Tempo: 0.001240 s
[CUDA] Passo  240 | Valor central: 86.68352134 | Tempo: 0.001258 s
[CUDA] Passo  241 | Valor central: 86.63276505 | Tempo: 0.001243 s
[CUDA] Passo  242 | Valor central: 86.58204367 | Tempo: 0.001259 s
[CUDA] Passo  243 | Valor central: 86.53135718 | Tempo: 0.001245 s
[CUDA] Passo  244 | Valor central: 86.48070555 | Tempo: 0.001261 s
[CUDA] Passo  245 | Valor central: 86.43008877 | Tempo: 0.001244 s
[CUDA] Passo  246 | Valor central: 86.37950679 | Tempo: 0.001267 s
[CUDA] Passo  247 | Valor central: 86.32895959 | Tempo: 0.001244 s
[CUDA] Passo  248 | Valor central: 86.27844715 | Tempo: 0.001269 s
[CUDA] Passo  249 | Valor central: 86.22796944 | Tempo: 0.001251 s
[CUDA] Passo  250 | Valor central: 86.17752644 | Tempo: 0.001270 s
[CUDA] Passo  251 | Valor central: 86.12711811 | Tempo: 0.001249 s
[CUDA] Passo  252 | Valor central: 86.07674443 | Tempo: 0.001264 s
[CUDA] Passo  253 | Valor central: 86.02640538 | Tempo: 0.001246 s
[CUDA] Passo  254 | Valor central: 85.97610093 | Tempo: 0.001273 s
[CUDA] Passo  255 | Valor central: 85.92583105 | Tempo: 0.001245 s
[CUDA] Passo  256 | Valor central: 85.87559572 | Tempo: 0.001266 s
[CUDA] Passo  257 | Valor central: 85.82539490 | Tempo: 0.001253 s
[CUDA] Passo  258 | Valor central: 85.77522858 | Tempo: 0.001266 s
[CUDA] Passo  259 | Valor central: 85.72509673 | Tempo: 0.001247 s
[CUDA] Passo  260 | Valor central: 85.67499932 | Tempo: 0.001267 s
[CUDA] Passo  261 | Valor central: 85.62493632 | Tempo: 0.001251 s
[CUDA] Passo  262 | Valor central: 85.57490771 | Tempo: 0.001274 s
[CUDA] Passo  263 | Valor central: 85.52491347 | Tempo: 0.001249 s
[CUDA] Passo  264 | Valor central: 85.47495356 | Tempo: 0.001265 s
[CUDA] Passo  265 | Valor central: 85.42502796 | Tempo: 0.001248 s
[CUDA] Passo  266 | Valor central: 85.37513665 | Tempo: 0.001274 s
[CUDA] Passo  267 | Valor central: 85.32527959 | Tempo: 0.001250 s
[CUDA] Passo  268 | Valor central: 85.27545677 | Tempo: 0.001268 s
[CUDA] Passo  269 | Valor central: 85.22566815 | Tempo: 0.001250 s
[CUDA] Passo  270 | Valor central: 85.17591371 | Tempo: 0.001267 s
[CUDA] Passo  271 | Valor central: 85.12619343 | Tempo: 0.001244 s
[CUDA] Passo  272 | Valor central: 85.07650728 | Tempo: 0.001262 s
[CUDA] Passo  273 | Valor central: 85.02685522 | Tempo: 0.001247 s
[CUDA] Passo  274 | Valor central: 84.97723725 | Tempo: 0.001275 s
[CUDA] Passo  275 | Valor central: 84.92765332 | Tempo: 0.001250 s
[CUDA] Passo  276 | Valor central: 84.87810343 | Tempo: 0.001267 s
[CUDA] Passo  277 | Valor central: 84.82858752 | Tempo: 0.001249 s
[CUDA] Passo  278 | Valor central: 84.77910560 | Tempo: 0.001272 s
[CUDA] Passo  279 | Valor central: 84.72965762 | Tempo: 0.001247 s
[CUDA] Passo  280 | Valor central: 84.68024356 | Tempo: 0.001268 s
[CUDA] Passo  281 | Valor central: 84.63086340 | Tempo: 0.001252 s
[CUDA] Passo  282 | Valor central: 84.58151710 | Tempo: 0.001265 s
[CUDA] Passo  283 | Valor central: 84.53220466 | Tempo: 0.001246 s
[CUDA] Passo  284 | Valor central: 84.48292603 | Tempo: 0.001268 s
[CUDA] Passo  285 | Valor central: 84.43368119 | Tempo: 0.001250 s
[CUDA] Passo  286 | Valor central: 84.38447012 | Tempo: 0.001263 s
[CUDA] Passo  287 | Valor central: 84.33529280 | Tempo: 0.001250 s
[CUDA] Passo  288 | Valor central: 84.28614918 | Tempo: 0.001272 s
[CUDA] Passo  289 | Valor central: 84.23703926 | Tempo: 0.001257 s
[CUDA] Passo  290 | Valor central: 84.18796301 | Tempo: 0.001267 s
[CUDA] Passo  291 | Valor central: 84.13892039 | Tempo: 0.001249 s
